"eau continentale"
"eau continentale";"étendue d'eau"
"eau continentale";"cours d’eau"
"eau continentale";"eau stagnante"
"eau continentale";"eau traitée"
"phénomènes"
"phénomènes";"phénomènes naturels et/ou anthropiques"
"végétation"
"végétation";"forêt"
"végétation";"culture"
"végétation";"végétation ornementale"
"végétation";"lisière / limites"
"végétation";"lisière / limites";"ragosse"
"végétation";"friches végétales"
"bâti"
"bâti";"bâti relatif au patrimoine"
"bâti";"habitat"
"bâti";"entreprise"
"bâti";"exploitation agricole"
"bâti";"édifice, espace public"
"bâti";"mobilier urbain"
"bâti";"loisir / tourisme"
"bâti";"infrastructures et réseaux"
"bâti";"énergie"
"bâti";"infrastructures aériennes"
"bâti";"réseau hertzien"
"bâti";"réseaux ferroviaire et aérien"
"bâti";"réseaux ferroviaire et aérien";"écran anti-bruit"
"bâti";"réseaux ferroviaire et aérien";"merlon acoustique"
"bâti";"réseau routier"
"bâti";"chemins"
"sujet"
"sujet";"humain"
"sujet";"faune"
"sujet";"faune";"bovins"
"sujet";"faune";"équidés"
"sujet";"faune";"volailles"
"sujet";"faune";"porcins"
"sujet";"faune";"ovins"
